cantidad,edad,estado,hospital
2,22,12,13
4,23,21,13
9,2,32,9
1,12,1,13
1,22,8,8
6,34,32,6
65,25,32,13
1,22,24,9
20,1,32,6
767,12,10,8
7,10,32,4
1,16,32,15
91,28,32,13
210,7,10,9
2,4,5,13
3,21,10,4
28,6,32,6
1,28,13,10
6,4,15,8
1,7,22,9
6,18,6,8
1,14,5,11
1,32,15,10
5,26,32,14
1,30,20,13
13,40,32,8
17,25,10,1
1,14,17,11
72,12,32,3
4,16,12,8
287,22,32,13
378,1,10,11
32,37,10,11
1,7,6,1
2,17,13,13
21,30,10,1
46,28,10,15
4,10,23,13
7,6,29,11
1,7,15,9
1,28,24,9
29,26,32,11
1,18,6,11
3,11,10,10
800,6,10,8
5,40,10,13
5,9,32,6
320,17,32,13
1,21,26,12
1,21,30,8
508,1,10,8
23,36,32,11
16,7,32,4
1,23,1,8
28,20,10,6
1,10,11,13
12,37,10,14
2,19,32,12
1,1,22,8
155,10,10,9
1,6,20,6
2,1,15,11
115,31,32,11
8,37,32,9
1,31,20,11
1,4,27,11
2,6,21,10
1,4,22,8
1,4,6,3
10,7,23,13
3,28,6,10
1,4,15,11
8,13,23,13
1,22,12,9
54,21,10,7
3,12,22,8
12,16,32,12
3,32,22,13
144,23,32,11
25,18,10,7
3,17,6,13
1,12,6,9
1,28,21,11
1,30,23,8
2,31,20,8
2,40,32,11
1,14,23,7
4,7,14,8
2,11,32,8
17,24,32,1
1,22,5,9
1,30,27,10
1,7,26,8
1,32,8,13
61,13,10,3
1,17,20,10
1,22,4,8
1,13,19,11
3,23,6,11
11,3,10,7
2,17,2,11
8,12,29,8
1,10,6,10
47,20,10,9
2,22,16,8
49,26,10,13
223,6,10,14
212,17,32,10
6,19,10,17
127,7,10,6
2,25,13,13
77,21,10,1
65,6,32,3
1,34,32,12
2,14,5,8
2,6,6,9
3,13,15,9
1,7,3,9
3,36,32,14
3,32,27,13
6,22,23,8
1,23,20,8
1,10,29,9
35,19,32,9
1,32,3,13
246,23,32,8
1,1,19,13
4,14,24,8
725,6,10,11
2,7,7,11
1,13,31,11
2,22,21,14
2,21,14,9
9,6,29,8
13,32,15,13
16,28,10,12
332,18,10,10
1,16,16,10
1,14,12,8
5,2,32,1
1,9,14,10
2,6,22,11
1,41,32,6
14,29,32,8
33,10,32,1
14,9,32,9
9,35,10,1
436,32,10,10
36,1,10,5
4,40,10,10
4,37,32,6
2,30,11,8
1,30,27,13
1,10,11,10
2,14,21,13
1,21,4,11
1,35,11,8
4,24,23,13
4,4,10,2
1,3,6,8
1,5,10,17
1,19,21,10
8,20,10,12
1,15,32,10
2,22,28,11
1,12,15,14
10,29,10,10
1,32,18,11
21,17,10,12
4,10,14,11
76,7,10,3
6,19,32,6
147,14,10,14
40,32,10,7
1,35,10,4
1,18,22,13
1,1,6,9
1,12,6,6
9,17,21,11
2,2,10,3
1,17,9,8
3,23,29,13
241,18,10,13
1,16,16,13
4,18,29,13
4,32,10,4
12,14,10,17
2,12,6,3
1,25,14,3
197,23,10,13
75,19,10,14
1,14,13,9
1,10,16,2
1,41,10,5
1,2,7,8
4,31,15,8
2,35,23,11
1,31,27,8
2,20,21,8
16,14,32,12
1,21,11,11
1,30,23,11
1,32,29,10
5,21,15,10
1,14,21,10
1,32,32,2
1,33,10,5
8,32,6,8
6,21,23,11
1,6,27,3
1,14,14,13
1,20,32,4
1,7,18,10
1,6,14,13
1,7,7,8
4,12,15,11
1,29,10,7
1,23,21,9
1,10,24,3
1,32,11,11
160,17,10,15
11,29,10,13
1,18,13,8
1,21,27,13
84,6,32,9
1,7,4,13
1,34,10,17
1,52,10,3
